Full joined content of the two databases
Germplasm_id	Germplasm_locus	Germplasm	Phenptype	Pubmed	LocusGene_id	LocusGene_locus	Gene	Protein_length
58	AT5G10480	pas2-3	Segregates 25% embryo lethal.	18799749	21	AT4G15570	MAA3	294
59	AT5G10510	plt3-1	Short roots and shortened root meristem.	17960244	21	AT4G15570	MAA3	294
60	AT5G11110	kns2	Defects are specific to pollen exine structure. Smaller mesh size in the exine structure. Increased number of baculae. Fully fertile.	18779216	21	AT4G15570	MAA3	294
61	AT5G11260	hy5-101	Under FRc conditions, the length mutant hypocotyls is increased compared to that of wild-type plants.  Under Rc conditions, the hypocotyl length is also increased and the cotyledon area is smaller.	16891401	21	AT4G15570	MAA3	294
62	AT5G11510	myb3r4-1	No visible phenotype.	17287251	21	AT4G15570	MAA3	294
63	AT5G12200	pyd2-2	The pyd2-2 mutant has a wild-type appearance under normal growth conditions. Pyrimidine nucleotide and uridine levels are not changed in the mutant, but uracil levels are increased. These mutants cannot grow normally when uracil is provided as a sole nitrogen source.	19413687	21	AT4G15570	MAA3	294
64	AT5G13290	crn-1	Increased meristem size. Vegetative meristems are are 30% larger than wild type. After bolting inflorescence meristems are enlarged and occasionally fasciated. Flowers occasionally produce extra organs in the first 3.	12345678	21	AT4G15570	MAA3	294
Number of entries for chromosomes 1 and 5
AT1G	8
AT5G	14
Average length of proteins encoded by genes in chromosomes 1 and 5
AT1G	259
AT5G	271
